word,negative_count
vez,5623
",",228527
sr,609
.,240727
costner,23
arrumou,2
filme,60598
tempo,6611
necessário,253
além,3312
terríveis,616
seqüências,279
resgate,133
mar,218
quais,615
poucas,329
simplesmente,3189
importei,74
nenhum,2802
personagens,5494
maioria,1933
fantasmas,235
armário,77
personagem,4069
costers,1
realizado,62
logo,588
início,973
esquecido,162
tarde,884
importava,126
deveríamos,87
importar,294
arrogante,134
superconfiante,1
ashton,19
kutcher,21
problema,1445
sai,478
garoto,760
pensa,230
melhor,6249
qualquer,6755
outra,2100
pessoa,1509
redor,384
mostra,870
sinais,105
desordenado,14
único,1505
obstáculo,25
parece,6138
estar,2108
vencendo,7
finalmente,1051
bem,7691
meio,1831
caminho,1126
conta,504
sobre,10502
kutchers,4
informados,33
levado,217
pressentimentos,3
presságios,2
anteriores,350
nenhuma,1731
mágica,84
aqui,3977
tudo,6315
podia,360
fazer,6453
desligar,111
hora,1165
exemplo,1375
motivo,644
filmes,12374
ação,2396
mesmos,400
genérico,67
chato,1636
nada,5963
valha,88
pena,2035
assistir,4794
completo,555
desperdício,768
talentos,260
ice,81
t,318
cubo,11
gelo,86
mal,3282
aproveitados,2
cada,1931
comprovando,1
capazes,156
atuar,303
agir,487
incomode,157
vá,503
ver,6848
new,167
jack,559
city,118
ricochet,2
york,339
undercover,2
boyz,7
hood,57
higher,6
learning,7
friday,43
cube,19
negócio,226
real,2072
ts,10
horrivelmente,188
clichê,702
diálogo,1904
sozinho,321
faz,4406
ralar,4
dentes,204
ainda,5197
perguntando,254
diabos,465
bill,310
paxton,36
fazendo,1788
neste,3650
?,16816
sempre,2492
interpreta,861
exatamente,863
extraterrestres,6
diante,261
todos,7380
vi,4589
fizeram,1054
interpretar,225
irritante,774
menos,5112
aliens,72
morreu,245
tornou,518
pouco,5556
gratificante,20
geral,1322
lixo,1769
segunda,724
classe,430
existem,541
incontáveis,27
melhores,1418
realmente,9948
quiser,712
assista,817
judgment,2
night,192
praticamente,664
cópia,352
carbono,16
atuação,4398
roteiro,3120
única,2612
coisa,5646
fez,2980
valer,137
mão,466
decente,910
câmera,1593
cinematografia,559
quase,3172
refrescante,35
chega,574
perto,996
compensar,133
horrível,3408
si,1533
assim,3784
4,1337
10,2865
primeiro,3079
odeio,322
raps,2
imbecis,30
poderiam,902
arma,435
pressionada,1
contra,1187
testas,3
fazem,1365
amaldiçoar,6
atirar,173
outro,3495
versão,1437
gangsters,36
leva,851
cinco,637
minutos,3512
explicar,365
acontecendo,726
antes,3138
armazém,44
simpático,182
nesse,791
exceção,337
teto,100
metade,809
cérebro,394
william,338
sadler,7
ambos,733
hill,93
billies,2
tão,10624
vilão,476
quanto,3357
gângsteres,51
gostava,222
desde,1685
começo,1009
cheio,596
violência,754
sentido,1965
especialidade,8
walter,79
hills,60
pessoas,6670
caindo,121
janelas,43
vidros,2
voando,78
toda,2499
parte,4137
enredo,5153
grande,4620
torce,24
ninguém,1638
todo,4748
mundo,2396
morre,302
exceto,986
recebem,93
merecem,127
dois,3076
únicos,189
negros,226
podem,1801
viciado,97
atores,3658
profissão,42
irritantes,326
rappers,14
feios,45
fique,421
longe,1298
dessa,634
porcaria,1043
observe,163
48,26
horas,1032
1,1964
2,2428
disso,3938
mínimo,362
gosta,890
senso,442
humor,1435
reais,550
elenco,2251
beatles,19
puderam,52
escrever,665
músicas,465
gostassem,6
embora,3264
mop,1
top,195
incomparável,15
trata,314
instigantes,14
