word,positive_count
vi,4690
filme,53923
ontem,162
noite,1545
persuadido,9
alguns,5240
amigos,1381
admitiria,3
relutante,56
vê,2010
lo,4663
porque,5313
sabia,594
ashton,32
kutcher,29
conseguia,150
fazer,4459
comédia,2599
errado,635
interpretou,271
personagem,3873
jake,68
fischer,10
bem,9624
kevin,270
costner,34
ben,363
randall,38
tal,682
profissionalismo,17
sinal,114
bom,6583
pode,7868
brincar,77
emoções,562
fez,3219
exatamente,810
todo,3781
teatro,667
vendido,53
superado,42
riso,112
durante,2207
primeira,2995
metade,445
levado,226
lágrimas,296
segundo,892
semestre,56
sair,692
muitas,3190
mulheres,1203
muitos,3462
homens,1240
adultos,392
tentando,1073
desesperadamente,119
deixar,889
ninguém,1087
los,996
chorando,86
ótimo,2953
sugiro,122
vá,387
antes,3093
julgar,97
diretor,2663
ator,1607
bill,523
paxton,37
segue,544
promissora,21
estréia,293
horror,861
gótico,67
frailty,1
drama,1235
esportivo,29
familiar,428
sobre,11083
aberto,146
eua,604
1913,15
onde,3329
jovem,2227
caddie,13
americano,843
eleva,69
humilde,70
experiência,883
jogar,372
contra,1268
ídolo,29
britânico,305
apelidado,52
maior,1829
jogo,1268
jogado,221
fã,1449
golfe,82
filmes,11996
divertidos,264
dúzia,86
dúzias,16
feitas,267
recentemente,518
grande,6258
sucesso,1104
miracle,11
cinderella,9
man,410
alguma,1661
forma,3202
fascinante,468
assim,3443
começa,1498
criativos,47
créditos,398
abertura,634
imaginam,11
versão,1560
disneyfied,1
animados,259
hbo,155
carnivale,2
roma,49
vagueiam,2
lentamente,255
hora,659
números,224
vez,5879
ação,2206
move,247
coisas,3079
abertas,35
encaixam,106
faz,5016
trabalho,3920
mostra,1550
talento,632
especial,739
floreios,8
diretoria,16
eficazes,83
adorei,454
montagem,97
encharcada,8
chuva,82
dia,1955
evento,213
impulsionou,7
ainda,6717
enredo,2966
acrescentou,43
profundidade,342
psicológica,47
inesperada,76
processo,351
desenvolvimento,369
caráter,382
convincente,601
harry,350
vardon,28
assombrado,81
imagens,792
aristocratas,6
ternos,42
pretos,16
cartolas,1
destruíram,12
casa,2374
família,2206
criança,865
abrir,128
caminho,1245
campo,363
descrever,188
visualmente,203
passa,438
cabeças,131
jogadores,246
sob,689
pressão,81
esporte,106
dolorosamente,74
entediante,72
trazido,84
vivo,428
aqui,3525
crédito,324
deve,2607
dado,378
cenógrafos,1
departamento,141
figurinos,130
criar,491
envolvente,257
atmosfera,681
período,606
londres,330
boston,50
início,1217
século,441
xx,86
sabe,1342
vai,3773
acabar,210
baseado,736
história,10085
real,2317
desse,1265
gênero,950
seguem,83
modelo,139
várias,962
vezes,4248
show,3231
melhor,6690
média,318
talvez,2464
indique,4
trás,757
câmera,988
frente,742
apesar,1660
natureza,571
estereotipada,42
agradável,1172
fácil,680
merece,621
encontrar,1490
público,1712
jogador,164
recreio,3
algum,1731
conhecimento,252
fiquei,1492
satisfeito,140
sensibilidade,97
disney,491
questões,365
classe,608
retrata,296
batalhas,81
psicológicas,25
lutou,57
dentro,940
si,1740
desde,2159
trauma,34
infância,349
despejado,6
própria,1106
incapacidade,49
romper,28
teto,80
vidro,66
impede,60
aceito,68
igual,93
sociedade,626
inglesa,123
mesma,1090
ouimet,17
próprias,339
lutas,189
sendo,2321
mero,27
olhos,1117
americanos,599
alta,591
camada,45
zombam,12
tentativas,158
elevar,40
acima,774
posição,192
amava,216
porém,189
tema,730
manifesta,14
personagens,5489
pais,785
ouimets,7
pai,1696
drone,4
trabalhadora,59
valor,296
duro,282
intimidado,11
mãe,1630
entanto,3107
reconhece,41
filhos,777
desejo,391
encoraja,17
perseguir,42
sonho,349
competir,50
pensam,122
inferior,94
finalmente,1291
cenas,3594
fotografadas,10
embora,4309
curso,127
usado,338
local,747
torneio,13
histórico,203
pequenas,342
liberdades,47
tomadas,122
diminuem,20
beleza,656
pequeno,1085
momento,1476
mesa,150
sinuca,8
caso,1301
contrário,728
espectador,901
pensa,258
realmente,8469
final,5329
criação,204
algo,2960
humana,481
poderia,3123
escrito,680
prévia,54
delicioso,135
cinematografia,771
extraordinariamente,66
criativa,86
atuação,2714
boa,3049
fabulosa,62
deste,2447
percebi,190
quão,750
charmoso,107
shia,27
lebouf,2
maravilhoso,1038
autônomo,5
líder,311
incrivelmente,663
doce,419
nele,478
torna,1576
outros,4172
atores,2977
fazem,1347
contém,340
momentos,1432
suspense,900
esperar,727
esportes,104
centavo,27
destaca,219
id,131
recomendada,28
qualquer,5106
pessoa,1424
levou,390
verdadeira,823
extraordinário,106
lida,287
diretamente,183
tensões,44
toca,287
profundos,90
preconceitos,52
anticatólicos,2
tanto,2121
estabelecimentos,4
britânicos,192
quanto,3383
fundo,650
eterno,30
favorito,746
triunfo,91
probabilidades,44
exemplar,19
toda,2410
parte,3995
stephen,223
dillane,9
excelente,2803
sempre,3919
revelação,113
laboeuf,2
apresenta,652
performance,1018
disciplinada,1
digna,90
altamente,802
simpática,79
garoto,572
franco,93
irlandês,70
luta,826
